level,country,salid,cases,cases_per_1M,deaths,deaths_per_10M
L1,MX,204109,21589,13485,2759,17233
L1,MX,204110,1306,9598,196,14404
L1,MX,204111,1638,11638,273,19397
L1,MX,204112,1688,16875,224,22393
L1,MX,204113,475,2028,53,2263
L1,MX,204114,1399,5128,240,8798
L1,MX,204115,3779,5050,573,7658
L1,MX,204116,3057,20128,350,23045
L1,MX,204117,8669,29130,888,29839
L1,MX,204118,6712,33075,451,22224
L1,MX,204119,13516,14478,1718,18402
L1,MX,204120,26778,20298,2355,17851
L1,MX,204121,5013,14275,511,14551
L1,MX,204122,2574,13725,314,16743
L1,MX,204123,1459,12368,173,14665
L1,MX,204124,16637,29163,959,16810
L1,MX,204125,13722,19260,1691,23734
L1,MX,204126,5811,24522,418,17639
L1,MX,204127,1596,15031,232,21850
L1,MX,204128,13734,18922,1321,18200
L1,MX,204129,4392,24826,326,18427
L1,MX,204130,11097,22101,1068,21270
L1,MX,204131,40649,22318,3851,21143
L1,MX,204132,2663,31021,98,11416
L1,MX,204133,6263,26844,556,23830
L1,MX,204134,3679,19132,411,21374
L1,MX,204135,12011,20526,1786,30522
L1,MX,204136,4207,14228,801,27090
L1,MX,204137,2564,12203,529,25178
L1,MX,204138,51809,10552,8077,16450
L1,MX,204139,944,6538,212,14682
L1,MX,204140,4117,9608,528,12322
L1,MX,204141,419540,19799,46113,21762
L1,MX,204142,1736,9978,406,23335
L1,MX,204143,24444,10763,4404,19392
L1,MX,204144,3291,15790,300,14394
L1,MX,204145,10784,12270,1387,15782
L1,MX,204146,3633,12065,461,15309
L1,MX,204147,2128,8354,210,8244
L1,MX,204148,3539,8536,551,13290
L1,MX,204149,7855,7927,1332,13442
L1,MX,204150,5763,12836,708,15769
L1,MX,204151,95637,21352,8524,19031
L1,MX,204152,21155,36492,1241,21407
L1,MX,204154,1773,12113,234,15987
L1,MX,204155,1519,9321,229,14052
L1,MX,204156,60482,19218,7196,22865
L1,MX,204157,2637,7277,659,18185
L1,MX,204158,1341,9114,174,11825
L1,MX,204159,42176,34184,2600,21073
L1,MX,204160,2880,10875,356,13442
L1,MX,204161,9730,10170,1690,17665
L1,MX,204162,5514,26128,305,14453
L1,MX,204163,2505,6416,324,8298
L1,MX,204164,14284,17039,1964,23428
L1,MX,204165,4484,9947,1015,22516
L1,MX,204166,5089,11046,833,18082
L1,MX,204167,3983,23469,293,17264
L1,MX,204168,1803,18535,170,17476
L1,MX,204169,37632,31859,3160,26752
L1,MX,204170,7067,18300,883,22866
L1,MX,204171,2981,16524,443,24556
L1,MX,204172,22798,25164,1802,19890
L1,MX,204173,2502,16618,250,16605
L1,MX,204174,3469,13547,488,19057
L1,MX,204175,2645,15181,446,25599
L1,MX,204176,37951,53047,1988,27788
L1,MX,204177,8380,24006,405,11602
L1,MX,204178,8062,14645,687,12479
L1,MX,204179,4684,10239,651,14230
L1,MX,204180,9452,11013,1113,12968
L1,MX,204181,19314,21954,1477,16789
L1,MX,204182,10950,19716,1340,24127
L1,MX,204183,272,2468,78,7077
L1,MX,204184,3798,10983,894,25853
L1,MX,204185,3793,12601,434,14418
L1,MX,204186,2483,7177,559,16157
L1,MX,204187,6963,16940,677,16470
L1,MX,204188,4881,9681,911,18068
L1,MX,204189,13737,15828,1844,21246
L1,MX,204190,5188,8175,974,15349
L1,MX,204191,23053,21379,2210,20495
L1,MX,204192,4955,21724,506,22184
L1,MX,204193,13428,40029,904,26948
L1,MX,MX888,295581,5977,34179,6911
L1,PE,105101,11339,29703,3504,91790
L1,PE,105102,2254,16373,914,66393
L1,PE,105103,20427,22202,6620,71953
L1,PE,105104,4627,22146,923,44178
L1,PE,105105,6093,20679,1355,45986
L1,PE,105106,13921,32028,2226,51213
L1,PE,105107,2769,12515,1390,62823
L1,PE,105108,1261,6434,2390,121936
L1,PE,105109,3653,11130,3560,108463
L1,PE,105110,2146,20080,1146,107230
L1,PE,105111,10475,22284,3356,71393
L1,PE,105112,9345,12936,5348,74031
L1,PE,105113,336707,33933,9651,9726
L1,PE,105114,17551,18485,6586,69363
L1,PE,105115,5832,12356,2775,58793
L1,PE,105116,3164,6116,3507,67795
L1,PE,105117,1521,5871,1889,72919
L1,PE,105118,647,2277,1060,37311
L1,PE,105119,2920,20700,1052,74576
L1,PE,105120,3744,25511,935,63710
L1,PE,105121,4272,14097,1680,55438
L1,PE,105122,3425,25267,1006,74216
L1,PE,105123,2429,7316,2634,79335
L1,PE,PE888,1433047,94990,46099,30557
L2,AR,10110110,21561,69910,551,17866
L2,AR,10110310,65892,101809,2135,32987
L2,AR,10110410,11823,77314,406,26549
L2,AR,10110510,14191,105038,349,25832
L2,AR,10110610,18059,101627,145,8160
L2,AR,10110611,1194,90461,9,6819
L2,AR,10110612,2966,96732,17,5544
L2,AR,10110710,163460,114264,2132,14903
L2,AR,10110711,25684,92244,226,8117
